make,price,mpg,repairs,weight,length,foreign
AMC,4099,22,3,2930,186,0
AMC,4749,17,3,3350,173,0
AMC,3799,22,3,2640,168,0
Audi,9690,17,5,2830,189,1
Audi,6295,23,3,2070,174,1
BMW,9735,25,4,2650,177,1
Buick,4816,20,3,3250,196,0
Buick,7827,15,4,4080,222,0
Buick,5788,18,3,3670,218,0
Buick,4453,26,3,2230,170,0
Buick,5189,20,3,3280,200,0
Buick,10372,16,3,3880,207,0
Buick,4082,19,3,3400,200,0
Cadillac,11385,14,3,4330,221,0
Cadillac,14500,14,2,3900,204,0
Cadillac,15906,21,3,4290,204,0
Chevrolet,3299,29,3,2110,163,0
Chevrolet,5705,16,4,3690,212,0
Chevrolet,4504,22,3,3180,193,0
Chevrolet,5104,22,2,3220,200,0
Chevrolet,3667,24,2,2750,179,0
Chevrolet,3955,19,3,3430,197,0
Datsun,6229,23,4,2370,170,1
Datsun,4589,35,5,2020,165,1
Datsun,5079,24,4,2280,170,1
Datsun,8129,21,4,2750,184,1
