Year,Player,Salary,Position,Team
1988,Mike Witt,1400000,Pitcher,Los Angeles Angels
1988,George Hendrick,989333,Outfielder,Los Angeles Angels
1988,Chili Davis,950000,Outfielder,Los Angeles Angels
1988,Brian Downing,900000,Designated Hitter,Los Angeles Angels
1988,Bob Boone,883000,Catcher,Los Angeles Angels
1988,Johnny Ray,857000,Second Baseman,Los Angeles Angels
1988,Dan Petry,785000,Pitcher,Los Angeles Angels
1988,Butch Wynegar,733333,Catcher,Los Angeles Angels
1988,Dick Schofield,552222,Shortstop,Los Angeles Angels
1988,Greg Minton,525000,Pitcher,Los Angeles Angels
1988,Tony Rafael Armas,425000,Outfielder,Los Angeles Angels
1988,Wally Joyner,340000,First Baseman,Los Angeles Angels
1988,Kirk McCaskill,262000,Pitcher,Los Angeles Angels
1988,Jack Howell,200000,Third Baseman,Los Angeles Angels
1988,Devon White,185000,Outfielder,Los Angeles Angels
1988,Willie Fraser,125000,Pitcher,Los Angeles Angels
1988,Mark McLemore,122500,Second Baseman,Los Angeles Angels
1988,Chuck Finley,111000,Pitcher,Los Angeles Angels
1988,Darrell Miller,107500,Catcher,Los Angeles Angels
1988,Jack Lazorko,97000,Pitcher,Los Angeles Angels
1988,Stew Cliburn,70000,Pitcher,Los Angeles Angels
1988,Thad Bosley,62500,Outfielder,Los Angeles Angels
1988,Terry Clark,62500,Pitcher,Los Angeles Angels
1988,Sherman Corbett,62500,Pitcher,Los Angeles Angels
1988,Jim Eppard,62500,Outfielder,Los Angeles Angels
1988,Bryan Harvey,62500,Pitcher,Los Angeles Angels
1988,Nolan Ryan,1200000,Pitcher,Houston Astros
1988,Dave Smith,1100000,Pitcher,Houston Astros
1988,Bob Knepper,1025000,Pitcher,Houston Astros
1988,Terry Puhl,950000,Outfielder,Houston Astros
1988,Rafael Ramirez,950000,Shortstop,Houston Astros
1988,Bill Doran,933000,Second Baseman,Houston Astros
1988,Brian Bass,880000,Outfielder,Houston Astros
1988,Danny Darwin,800000,Pitcher,Houston Astros
1988,Buddy Bell,790000,Third Baseman,Houston Astros
1988,Mike Scott,666667,Pitcher,Houston Astros
1988,Bob Forsch,650000,Pitcher,Houston Astros
1988,Joaquin Andujar,570000,Pitcher,Houston Astros
1988,Craig Reynolds,500000,Shortstop,Houston Astros
1988,Larry Andersen,475000,Pitcher,Houston Astros
1988,Alan Ashby,450000,Catcher,Houston Astros
1988,Glenn Davis,340000,First Baseman,Houston Astros
1988,Billy Hatcher,240000,Outfielder,Houston Astros
1988,Jim Deshaies,232500,Pitcher,Houston Astros
1988,Juan Agosto,192500,Pitcher,Houston Astros
1988,Jim Pankovits,150000,Second Baseman,Houston Astros
1988,Gerald Young,85000,Outfielder,Houston Astros
1988,Ken Caminiti,80000,Third Baseman,Houston Astros
1988,Ty Gainey,70000,Outfielder,Houston Astros
1988,John Fishel,62500,Outfielder,Houston Astros
1988,Alex Trevino,62500,Catcher,Houston Astros
1988,Carney Lansford,1535000,Third Baseman,Oakland Athletics
1988,Dave Parker,1000000,Outfielder,Oakland Athletics
1988,Bob Welch,937500,Pitcher,Oakland Athletics
1988,Rick Honeycutt,855000,Pitcher,Oakland Athletics
1988,Dennis Eckersley,700000,Pitcher,Oakland Athletics
1988,Dave Stewart,700000,Pitcher,Oakland Athletics
1988,Storm Davis,550000,Pitcher,Oakland Athletics
1988,Don Baylor,532050,Designated Hitter,Oakland Athletics
1988,Gene Nelson,470000,Pitcher,Oakland Athletics
1988,Dave Henderson,450000,Outfielder,Oakland Athletics
1988,Glenn Hubbard,425000,Second Baseman,Oakland Athletics
1988,Matt Young,420000,Pitcher,Oakland Athletics
1988,Curt Young,410000,Pitcher,Oakland Athletics
1988,Ron Hassey,400000,Catcher,Oakland Athletics
1988,Jose Canseco,355000,Outfielder,Oakland Athletics
1988,Mark McGwire,280000,First Baseman,Oakland Athletics
1988,Tony Phillips,262400,Third Baseman,Oakland Athletics
1988,Steve Ontiveros,200000,Pitcher,Oakland Athletics
1988,Terry Steinbach,130000,Catcher,Oakland Athletics
1988,Luis Polonia,115000,Outfielder,Oakland Athletics
1988,Mike Gallego,106900,Second Baseman,Oakland Athletics
1988,Eric Plunk,104500,Pitcher,Oakland Athletics
1988,Greg Cadaret,96833,Pitcher,Oakland Athletics
1988,Stan Javier,85000,Outfielder,Oakland Athletics
1988,Matt Sinatro,70000,Catcher,Oakland Athletics
1988,Walt Weiss,65000,Shortstop,Oakland Athletics
1988,Todd Burns,62500,Pitcher,Oakland Athletics
1988,Doug Jennings,62500,Outfielder,Oakland Athletics
